Age (Ma),CO2 (ppm),LOW CO2 ,HIGH CO2 ,ERROR(%),O2 (%),,Age (Ma),CO2 (ppm),LOW CO2 ,HIGH CO2 ,ERROR(%),O2 (%)
570,8855.046566,6328.268004,12696.69563,35.95931189,14.88095238,,570,13029.85919,9148.211886,19020.81834,37.88454776,14.88095238
560,9293.773152,6562.409566,13466.15609,37.14178521,13.79042966,,560,10581.08207,7429.684837,15421.18354,37.76314485,12.30261054
550,8979.238925,6365.10794,12953.01093,36.68408339,17.97579088,,550,9177.863457,6502.714221,0,-35.42607847,19.86951646
540,8587.339652,6066.467394,12431.21196,37.05888449,17.50679824,,540,5384.339269,3874.781232,7314.3986,31.94094202,15.94009279
530,7148.877523,5098.0118,10247.30356,36.01468723,21.10895886,,530,4488.830898,3258.07311,6406.142437,35.06558165,21.98349272
520,7642.791381,5438.537569,10988.25776,36.3068931,21.43283645,,520,4289.505129,3125.789906,6005.944477,33.57210778,21.1480678
510,8469.850409,5998.283212,12243.64833,36.86821384,20.85065177,,510,5253.954477,3791.584511,7458.775274,34.89933896,21.07088169
500,6292.1225,4504.670368,9001.177778,35.73124498,17.71894267,,500,4202.449322,3057.570847,5930.721093,34.1842343,18.68629516
490,4573.323782,3319.405784,6446.733668,34.19097394,18.72477748,,490,3948.030548,2880.003343,5549.182079,33.8039271,18.71052821
480,3548.13982,2597.567141,4957.225843,33.2520535,16.69544935,,480,2996.01998,2207.960209,4165.370106,32.6668365,16.62104525
470,2537.359094,1881.250635,3498.917534,31.87697995,14.94357609,,470,3435.541089,2514.267703,4807.420194,33.37396398,14.95348716
460,2064.606287,1539.830876,2828.417921,31.2066047,18.2597643,,460,2254.463501,1677.578856,3100.442025,31.55658029,18.36129323
450,1730.286802,1296.959245,2359.449895,30.70273228,17.92855829,,450,2144.202885,1592.635439,2955.32908,31.77622909,17.732821
440,2219.200233,1643.988569,3062.772017,31.96609812,21.32575679,,440,4265.194783,3080.876776,6047.294438,34.7747033,22.49628378
430,1612.069061,1204.06395,2208.387181,31.15013044,23.688511,,430,2603.31867,1908.525739,3640.983735,33.27402856,25.2453597
420,1970.781824,1451.695839,2738.844386,32.65578491,24.88819299,,420,3408.935737,2460.23857,4840.047265,34.90544965,26.17443086
410,2582.040815,1873.083079,3644.41081,34.3009243,26.90349344,,410,3249.561597,2330.893752,4635.794881,35.46480133,28.78243628
400,4208.437005,3005.329692,6039.730234,36.05139555,19.37045552,,400,4395.221506,3133.034299,6320.710518,36.26297577,19.13100684
390,2282.325831,1682.048073,3159.094934,32.35836971,22.38528528,,390,2822.252912,2069.501691,3927.226403,32.91208778,21.26564087
380,2187.481776,1590.608493,3082.327814,34.09672568,18.81202036,,380,2044.633087,1490.721871,2874.391329,33.83662004,17.61612841
370,1718.964958,1195.167302,2536.008485,39.00141121,16.49129134,,370,1710.832155,1194.154773,2515.31976,38.61176515,15.32291918
360,1036.997444,695.6436784,1605.157136,43.85321598,19.128391,,360,1309.183491,872.8583881,2034.802885,44.37668612,18.58899927
350,636.0397734,397.3905805,1157.248164,59.73349589,25.91801765,,350,434.1398596,278.769331,761.5092488,55.59728129,26.01293646
340,684.2518858,447.7659254,1162.103219,52.19841617,25.76107199,,340,694.4520052,459.2875014,1162.323405,50.61803395,24.76799716
330,473.2136664,367.3609558,640.8047571,28.89221304,23.13172914,,330,591.0147325,450.0691634,819.1220814,31.22197279,22.07525716
320,451.3991185,348.3398384,611.3643339,29.13436079,25.20376308,,320,624.9478679,469.1458898,875.5134855,32.51211953,25.48373833
310,361.453457,287.1910389,473.4997348,25.77215576,29.1755021,,310,363.1397063,290.4175218,472.9845786,25.13730302,30.37460298
300,366.1849415,291.8975298,478.9600951,25.54208873,31.50630422,,300,373.2549783,297.2925954,488.9998575,25.68046956,31.91264917
290,443.7112027,348.9471702,589.7571446,27.13589075,33.17946598,,290,380.0265682,303.3631144,496.4791813,25.40823235,33.14935667
280,447.4237074,351.4739718,595.2708729,27.24452203,32.66413399,,280,536.0428879,414.9546231,726.1420306,29.02635354,32.29318376
270,734.1308474,552.9194039,1028.283326,32.37596704,33.42325386,,270,767.4323326,573.6737543,1084.431895,33.27707987,33.35190395
260,725.6568606,544.5528785,1020.523826,32.79586905,32.03219898,,260,781.6721921,583.7878894,1105.930004,33.3990463,31.80461554
250,4140.392147,2273.230129,8472.08822,74.85834518,21.50185736,,250,6661.131327,3472.548669,14435.57425,82.29101819,20.12126468
240,3214.856247,1773.246193,6543.190548,74.18596646,17.5890492,,240,4286.838322,2298.617178,9021.520324,78.41330418,16.59418788
230,1204.006904,749.0040802,2149.561856,58.1623648,20.93870519,,230,1381.889065,847.0134419,2506.997435,60.06212929,21.10146244
220,2087.89871,1195.402075,4116.582285,69.9550269,25.88421918,,220,2299.456067,1301.978009,4589.792947,71.49114491,26.14926206
210,1574.473104,929.6562351,2988.257386,65.3742876,23.29339228,,210,1548.063544,917.9911537,2930.984808,65.01650602,23.50987148
200,1523.649532,882.3723832,2977.263198,68.74582279,18.11083231,,200,930.5896698,574.1579837,1689.034168,59.90159897,18.55133234
190,1016.469131,626.0030396,1842.801535,59.85417847,7.184846454,,190,935.5973437,578.7904341,1687.208502,59.23584943,9.019530736
180,713.447464,446.084003,1278.046257,58.30578253,16.04822012,,180,941.4186432,569.3833498,1756.39453,63.04374727,13.61103143
170,785.8318311,485.4534611,1429.475897,60.06516909,14.78080389,,170,719.6307678,447.3773979,1301.236963,59.32622696,13.82845612
160,957.3550931,579.4351987,1784.809271,62.95334304,15.98413105,,160,861.9067523,529.5062238,1579.369825,60.90354894,15.59890318
150,1084.489215,652.2354179,2031.788147,63.60380124,16.60832593,,150,1314.02147,773.4221437,2524.282364,66.62220747,16.26621346
140,1928.820007,1095.800885,3829.708718,70.86995737,12.88143816,,140,2332.884978,1295.579401,4750.603905,74.05046835,12.33703477
130,2870.808831,1547.817306,6050.907017,78.42893722,21.49354601,,130,3005.968103,1611.824444,6375.699631,79.24028173,21.79840105
120,1420.46595,831.2766678,2738.8909,67.14748187,24.9552589,,120,1324.12896,780.6240352,2526.712092,65.93345926,24.93260296
110,914.7692778,572.0010044,1627.944576,57.71638802,26.07803615,,110,1057.525096,648.8600867,1919.047895,60.05473599,25.78105658
100,350.5362893,245.8324449,538.6571787,41.76810542,25.65139624,,100,317.1565628,224.7496219,480.3442081,40.29470239,25.4228046
90,308.1288791,219.1864158,464.535444,39.81272852,24.78897512,,90,258.7076642,187.5740099,380.9091293,37.36555698,24.55341982
80,282.6928364,206.4846658,412.1051343,36.36817811,23.78471307,,80,333.2381742,239.0583602,497.3714605,38.75802958,23.48812416
70,262.3509651,194.8414882,374.5216011,34.24422564,23.57282356,,70,276.4696495,204.2737938,397.680673,34.97795861,23.29924712
60,302.9937301,225.0822609,432.9232428,34.29790145,22.44195744,,60,308.193149,228.5934809,441.3076214,34.50987494,22.14931826
50,217.5655493,168.9323141,294.3435135,28.82147468,21.97230911,,50,196.7069312,154.2501313,262.7168821,27.5706479,21.71117716
40,219.4818413,188.5491403,262.6424363,16.87914035,24.44315641,,40,228.7478512,195.804839,274.5233221,17.20638745,24.31068325
30,261.645216,221.5347366,318.3013319,18.49194814,24.81468549,,30,255.4098866,216.7694724,310.1893513,18.28822686,24.60076735
20,279.3902242,235.0794863,342.1162367,19.15542155,23.86885142,,20,267.3161961,225.7204097,326.0149523,18.75953347,23.66488825
10,266.1319817,224.8470359,324.0073091,18.62990545,22.07756752,,10,263.7235298,222.7966486,321.0873293,18.63517464,21.906186
0,240.9622803,235.6560241,246.9338337,2.340160802,20.52792109,,0,241.2503272,235.8362071,247.3754766,2.391555194,20.32892361
